ocel_IoTobject_id;ocel_object_id;ocel_qualifier;ocel_time
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-02 23:56:45
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-02 23:56:55
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-02 23:57:00
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-02 23:57:05
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-02 23:57:10
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-02 23:57:15
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-02 23:57:20
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-02 23:57:25
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-02 23:57:30
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-02 23:57:35
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-02 23:57:40
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-02 23:57:45
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-02 23:59:28
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-02 23:59:33
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-02 23:59:43
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-02 23:59:48
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-02 23:59:53
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-02 23:59:58
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:00:03
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:00:08
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:00:13
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:00:18
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:00:23
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:00:28
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:00:33
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:00:38
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:00:43
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:06:38
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:06:43
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:06:48
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:06:53
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:06:58
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:07:03
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:07:08
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:07:13
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:07:18
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:07:23
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:07:28
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:07:33
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:07:38
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:07:43
GPS_tr38;tr38;GPS sensor tracking truck location;2024-05-03 00:07:48
WS06;tr38;Weight sensor measuring empty truck weight;2024-05-03 00:07:53
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-03 00:08:18
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-03 00:08:23
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-03 00:08:28
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-03 00:08:33
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-03 00:08:38
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-03 00:08:43
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-03 00:08:48
GPS_tr7;tr7;GPS sensor tracking truck location;2024-05-03 00:08:53
