IoTDeviceID;type;Status;Timestamp;Location;Interdependency
WS06_IR1,sensor,blocked,2024-05-03 00:09:43,weighbridge6,WS06
WS06_IR2,sensor,blocked,2024-05-03 00:09:43,weighbridge6,WS06
WS06_IR3,sensor,blocked,2024-05-03 00:09:43,weighbridge6,WS06
WS06_IR4,sensor,blocked,2024-05-03 00:09:43,weighbridge6,WS06
WS10_IR1,sensor,blocked,2024-05-03 00:10:59,weighbridge10,WS10
WS10_IR2,sensor,blocked,2024-05-03 00:10:59,weighbridge10,WS10
WS10_IR3,sensor,blocked,2024-05-03 00:10:59,weighbridge10,WS10
WS10_IR4,sensor,blocked,2024-05-03 00:10:59,weighbridge10,WS10
WS06_IR1,sensor,partially blocked,2024-05-03 10:02:15,weighbridge6,WS06
WS06_IR2,sensor,blocked,2024-05-03 10:02:15,weighbridge6,WS06
WS06_IR3,sensor,blocked,2024-05-03 10:02:15,weighbridge6,WS06
WS06_IR4,sensor,blocked,2024-05-03 10:02:15,weighbridge6,WS06
WS16_IR1,sensor,blocked,2024-05-03 10:09:38,weighbridge16,WS16
WS16_IR2,sensor,blocked,2024-05-03 10:09:38,weighbridge16,WS16
WS16_IR3,sensor,blocked,2024-05-03 10:09:38,weighbridge16,WS16
WS16_IR4,sensor,blocked,2024-05-03 10:09:38,weighbridge16,WS16
WS17_IR1,sensor,blocked,2024-05-04 06:03:40,weighbridge17,WS17
WS17_IR2,sensor,blocked,2024-05-04 06:03:40,weighbridge17,WS17
WS17_IR3,sensor,unblocked,2024-05-04 06:03:40,weighbridge17,WS17
WS17_IR4,sensor,blocked,2024-05-04 06:03:40,weighbridge17,WS17
WS06_IR1,sensor,partially blocked,2024-05-04 06:07:46,weighbridge6,WS06
WS06_IR2,sensor,blocked,2024-05-04 06:07:46,weighbridge6,WS06
WS06_IR3,sensor,blocked,2024-05-04 06:07:46,weighbridge6,WS06
WS06_IR4,sensor,blocked,2024-05-04 06:07:46,weighbridge6,WS06
WS20_IR1,sensor,blocked,2024-05-04 07:02:26,weighbridge20,WS20
WS20_IR2,sensor,blocked,2024-05-04 07:02:26,weighbridge20,WS20
WS20_IR3,sensor,blocked,2024-05-04 07:02:26,weighbridge20,WS20
WS20_IR4,sensor,blocked,2024-05-04 07:02:26,weighbridge20,WS20
WS09_IR1,sensor,blocked,2024-05-04 07:24:46,weighbridge9,WS09
WS09_IR2,sensor,blocked,2024-05-04 07:24:46,weighbridge9,WS09
WS09_IR3,sensor,blocked,2024-05-04 07:24:46,weighbridge9,WS09
WS09_IR4,sensor,blocked,2024-05-04 07:24:46,weighbridge9,WS09
WS03_IR1,sensor,blocked,2024-05-06 04:57:47,weighbridge3,WS03
WS03_IR2,sensor,blocked,2024-05-06 04:57:47,weighbridge3,WS03
WS03_IR3,sensor,blocked,2024-05-06 04:57:47,weighbridge3,WS03
WS03_IR4,sensor,blocked,2024-05-06 04:57:47,weighbridge3,WS03
WS17_IR1,sensor,blocked,2024-05-06 04:58:54,weighbridge17,WS17
WS17_IR2,sensor,unblocked,2024-05-06 04:58:54,weighbridge17,WS17
WS17_IR3,sensor,unblocked,2024-05-06 04:58:54,weighbridge17,WS17
WS17_IR4,sensor,blocked,2024-05-06 04:58:54,weighbridge17,WS17
WS03_IR1,sensor,blocked,2024-05-06 05:00:22,weighbridge3,WS03
WS03_IR2,sensor,blocked,2024-05-06 05:00:22,weighbridge3,WS03
WS03_IR3,sensor,blocked,2024-05-06 05:00:22,weighbridge3,WS03
WS03_IR4,sensor,blocked,2024-05-06 05:00:22,weighbridge3,WS03
WS06_IR1,sensor,blocked,2024-05-06 05:00:33,weighbridge6,WS06
WS06_IR2,sensor,blocked,2024-05-06 05:00:33,weighbridge6,WS06
WS06_IR3,sensor,blocked,2024-05-06 05:00:33,weighbridge6,WS06
WS06_IR4,sensor,blocked,2024-05-06 05:00:33,weighbridge6,WS06
WS16_IR1,sensor,blocked,2024-05-06 05:04:23,weighbridge16,WS16
WS16_IR2,sensor,blocked,2024-05-06 05:04:23,weighbridge16,WS16
WS16_IR3,sensor,blocked,2024-05-06 05:04:23,weighbridge16,WS16
WS16_IR4,sensor,blocked,2024-05-06 05:04:23,weighbridge16,WS16
WS19_IR1,sensor,partially blocked,2024-05-06 05:04:39,weighbridge19,WS19
WS19_IR2,sensor,blocked,2024-05-06 05:04:39,weighbridge19,WS19
WS19_IR3,sensor,blocked,2024-05-06 05:04:39,weighbridge19,WS19
WS19_IR4,sensor,blocked,2024-05-06 05:04:39,weighbridge19,WS19
WS15_IR1,sensor,blocked,2024-05-06 05:05:16,weighbridge15,WS15
WS15_IR2,sensor,blocked,2024-05-06 05:05:16,weighbridge15,WS15
WS15_IR3,sensor,blocked,2024-05-06 05:05:16,weighbridge15,WS15
WS15_IR4,sensor,blocked,2024-05-06 05:05:16,weighbridge15,WS15
WS09_IR1,sensor,blocked,2024-05-06 05:07:57,weighbridge9,WS09
WS09_IR2,sensor,blocked,2024-05-06 05:07:57,weighbridge9,WS09
WS09_IR3,sensor,blocked,2024-05-06 05:07:57,weighbridge9,WS09
WS09_IR4,sensor,blocked,2024-05-06 05:07:57,weighbridge9,WS09
WS14_IR1,sensor,partially blocked,2024-05-06 05:08:58,weighbridge14,WS14
WS14_IR2,sensor,blocked,2024-05-06 05:08:58,weighbridge14,WS14
WS14_IR3,sensor,blocked,2024-05-06 05:08:58,weighbridge14,WS14
WS14_IR4,sensor,blocked,2024-05-06 05:08:58,weighbridge14,WS14
WS05_IR1,sensor,blocked,2024-05-06 05:14:24,weighbridge5,WS05
WS05_IR2,sensor,blocked,2024-05-06 05:14:24,weighbridge5,WS05
WS05_IR3,sensor,blocked,2024-05-06 05:14:24,weighbridge5,WS05
WS05_IR4,sensor,blocked,2024-05-06 05:14:24,weighbridge5,WS05
WS12_IR1,sensor,blocked,2024-05-06 05:14:53,weighbridge12,WS12
WS12_IR2,sensor,blocked,2024-05-06 05:14:53,weighbridge12,WS12
WS12_IR3,sensor,blocked,2024-05-06 05:14:53,weighbridge12,WS12
WS12_IR4,sensor,blocked,2024-05-06 05:14:53,weighbridge12,WS12
WS14_IR1,sensor,blocked,2024-05-06 05:16:31,weighbridge14,WS14
WS14_IR2,sensor,blocked,2024-05-06 05:16:31,weighbridge14,WS14
WS14_IR3,sensor,blocked,2024-05-06 05:16:31,weighbridge14,WS14
WS14_IR4,sensor,blocked,2024-05-06 05:16:31,weighbridge14,WS14
WS09_IR1,sensor,blocked,2024-05-06 05:17:45,weighbridge9,WS09
WS09_IR2,sensor,blocked,2024-05-06 05:17:45,weighbridge9,WS09
WS09_IR3,sensor,blocked,2024-05-06 05:17:45,weighbridge9,WS09
WS09_IR4,sensor,blocked,2024-05-06 05:17:45,weighbridge9,WS09
WS08_IR1,sensor,blocked,2024-05-06 05:19:49,weighbridge8,WS08
WS08_IR2,sensor,blocked,2024-05-06 05:19:49,weighbridge8,WS08
WS08_IR3,sensor,blocked,2024-05-06 05:19:49,weighbridge8,WS08
WS08_IR4,sensor,blocked,2024-05-06 05:19:49,weighbridge8,WS08
WS06_IR1,sensor,blocked,2024-05-06 05:20:00,weighbridge6,WS06
WS06_IR2,sensor,blocked,2024-05-06 05:20:00,weighbridge6,WS06
WS06_IR3,sensor,blocked,2024-05-06 05:20:00,weighbridge6,WS06
WS06_IR4,sensor,blocked,2024-05-06 05:20:00,weighbridge6,WS06
WS01_IR1,sensor,blocked,2024-05-06 05:20:40,weighbridge1,WS01
WS01_IR2,sensor,blocked,2024-05-06 05:20:40,weighbridge1,WS01
WS01_IR3,sensor,blocked,2024-05-06 05:20:40,weighbridge1,WS01
WS01_IR4,sensor,blocked,2024-05-06 05:20:40,weighbridge1,WS01
WS12_IR1,sensor,blocked,2024-05-06 05:21:36,weighbridge12,WS12
WS12_IR2,sensor,blocked,2024-05-06 05:21:36,weighbridge12,WS12
WS12_IR3,sensor,blocked,2024-05-06 05:21:36,weighbridge12,WS12
WS12_IR4,sensor,blocked,2024-05-06 05:21:36,weighbridge12,WS12
WS06_IR1,sensor,blocked,2024-05-06 05:22:56,weighbridge6,WS06
