ocel_id;ocel_time;ocel_changed_field;Cargo Type;Cargo stock weight(withholding);Cargo stock weight(real);Silo ID
Cr16;2024-03-04 00:00:00;;Wheat;114850.0;114850.0;Silo18
Cr4;2024-03-04 00:00:00;;Corn;145205.3;145205.3;Silo2
Cr19;2024-03-04 00:00:00;;Other;129036.0;129036.0;Silo19
Cr15;2024-03-04 00:00:00;;Wheat;132312.3;132312.3;Silo16
Cr11;2024-03-04 00:00:00;;Corn;100468.2;100468.2;Silo8
Cr13;2024-03-04 00:00:00;;Corn;133457.7;133457.7;Silo1
Cr1;2024-03-04 00:00:00;;Corn;113795.7;113795.7;Silo3
Cr9;2024-03-04 00:00:00;;Rice;105673.5;105673.5;Silo5
Cr3;2024-03-04 00:00:00;;Potato;122877.4;122877.4;Silo14
Cr2;2024-03-04 00:00:00;;Wheat;116889.2;116889.2;Silo15
Cr7;2024-03-04 00:00:00;;Corn;118560.4;118560.4;Silo11
Cr5;2024-03-04 00:00:00;;Corn;103811.9;103811.9;Silo7
Cr10;2024-03-04 00:00:00;;Potato;147629.8;147629.8;Silo10
Cr17;2024-03-04 00:00:00;;Rice;118919.6;118919.6;Silo6
Cr20;2024-03-04 00:00:00;;Rice;123405.7;123405.7;Silo9
Cr18;2024-03-04 00:00:00;;Wheat;145451.2;145451.2;Silo20
Cr14;2024-03-04 00:00:00;;Wheat;107527.8;107527.8;Silo4
Cr8;2024-03-04 00:00:00;;Potato;114926.5;114926.5;Silo17
Cr12;2024-03-04 00:00:00;;Other;120065.3;120065.3;Silo13
Cr6;2024-03-04 00:00:00;;Rice;137171.7;137171.7;Silo12
Cr14;2024-04-29 07:25:58;Cargo stock weight(withholding);;97514.4
Cr18;2024-04-29 07:28:42;Cargo stock weight(withholding);;133668.5
Cr3;2024-04-29 07:40:59;Cargo stock weight(withholding);;111529.1
Cr4;2024-04-29 07:52:01;Cargo stock weight(withholding);;133761.5
Cr7;2024-04-29 08:07:09;Cargo stock weight(withholding);;107866.1
Cr20;2024-04-29 10:38:08;Cargo stock weight(withholding);;113211.5
Cr15;2024-04-29 10:47:30;Cargo stock weight(withholding);;121688.5
Cr5;2024-04-29 11:48:38;Cargo stock weight(withholding);;92994.6
Cr19;2024-04-29 12:17:02;Cargo stock weight(withholding);;118438.6
Cr13;2024-04-29 13:29:01;Cargo stock weight(withholding);;122109.3
Cr17;2024-04-29 14:06:17;Cargo stock weight(withholding);;108660.5
Cr12;2024-04-29 15:43:18;Cargo stock weight(withholding);;108252.2
Cr16;2024-04-29 16:12:43;Cargo stock weight(withholding);;104158.3
Cr18;2024-04-29 16:21:08;Cargo stock weight(withholding);;122380.1
Cr2;2024-04-29 16:27:40;Cargo stock weight(withholding);;106248.8
Cr1;2024-04-29 18:29:34;Cargo stock weight(withholding);;103337.6
Cr7;2024-04-29 18:51:26;Cargo stock weight(withholding);;97286.2
Cr8;2024-04-29 19:40:03;Cargo stock weight(withholding);;104218.0
Cr5;2024-04-29 19:57:07;Cargo stock weight(withholding);;81895.0
Cr6;2024-04-29 21:10:53;Cargo stock weight(withholding);;126402.0
Cr19;2024-04-29 21:52:45;Cargo stock weight(withholding);;108320.1
Cr20;2024-04-29 22:21:28;Cargo stock weight(withholding);;101930.5
Cr17;2024-04-29 22:28:49;Cargo stock weight(withholding);;97884.7
Cr13;2024-04-29 23:22:43;Cargo stock weight(withholding);;110617.0
Cr4;2024-04-30 01:08:56;Cargo stock weight(withholding);;123208.7
Cr18;2024-04-30 01:39:10;Cargo stock weight(withholding);;112156.7
Cr3;2024-04-30 02:49:45;Cargo stock weight(withholding);;101198.3
Cr7;2024-04-30 02:51:03;Cargo stock weight(withholding);;85915.2
Cr9;2024-04-30 03:13:00;Cargo stock weight(withholding);;93758.0
Cr11;2024-04-30 04:16:43;Cargo stock weight(withholding);;89528.0
Cr10;2024-04-30 04:49:09;Cargo stock weight(withholding);;136702.5
Cr1;2024-04-30 07:09:09;Cargo stock weight(withholding);;92301.0
Cr13;2024-04-30 07:39:04;Cargo stock weight(withholding);;98991.7
Cr16;2024-04-30 08:05:22;Cargo stock weight(withholding);;92375.6
Cr3;2024-04-30 10:30:54;Cargo stock weight(withholding);;89882.7
Cr8;2024-04-30 12:13:27;Cargo stock weight(withholding);;93636.8
Cr14;2024-04-30 12:31:53;Cargo stock weight(withholding);;85850.1
Cr5;2024-04-30 13:36:51;Cargo stock weight(withholding);;70814.6
Cr15;2024-04-30 14:04:16;Cargo stock weight(withholding);;110655.8
Cr12;2024-04-30 14:27:09;Cargo stock weight(withholding);;97503.5
Cr6;2024-04-30 14:33:11;Cargo stock weight(withholding);;116298.7
Cr2;2024-04-30 14:41:52;Cargo stock weight(withholding);;94780.1
Cr7;2024-04-30 14:57:38;Cargo stock weight(withholding);;75665.7
Cr17;2024-04-30 15:18:06;Cargo stock weight(withholding);;87035.4
Cr18;2024-04-30 15:19:37;Cargo stock weight(withholding);;100348.1
Cr10;2024-04-30 15:27:32;Cargo stock weight(withholding);;126566.6
Cr20;2024-04-30 17:33:53;Cargo stock weight(withholding);;90315.6
Cr19;2024-04-30 17:36:07;Cargo stock weight(withholding);;97446.1
Cr9;2024-04-30 17:50:30;Cargo stock weight(withholding);;82017.9
Cr11;2024-04-30 19:51:54;Cargo stock weight(withholding);;78345.9
Cr4;2024-04-30 20:18:18;Cargo stock weight(withholding);;111474.0
Cr14;2024-04-30 21:06:46;Cargo stock weight(withholding);;75032.2
Cr13;2024-04-30 23:03:30;Cargo stock weight(withholding);;88647.7
Cr3;2024-04-30 23:08:45;Cargo stock weight(withholding);;78575.9
Cr18;2024-04-30 23:50:58;Cargo stock weight(withholding);;90153.4
Cr1;2024-04-30 23:53:42;Cargo stock weight(withholding);;82082.3
Cr8;2024-05-01 00:16:48;Cargo stock weight(withholding);;83563.0
Cr5;2024-05-01 02:02:00;Cargo stock weight(withholding);;58897.6
Cr16;2024-05-01 02:39:58;Cargo stock weight(withholding);;81376.6
Cr19;2024-05-01 02:55:02;Cargo stock weight(withholding);;86137.6
Cr11;2024-05-01 06:08:30;Cargo stock weight(withholding);;67187.3
Cr2;2024-05-01 06:08:48;Cargo stock weight(withholding);;83031.7
Cr12;2024-05-01 06:13:10;Cargo stock weight(withholding);;87221.5
Cr20;2024-05-01 08:41:26;Cargo stock weight(withholding);;79381.7
Cr3;2024-05-01 09:05:45;Cargo stock weight(withholding);;67995.4
