RFID tag, Average Weight, Manufactured Weight, Empty Weights
rfidHYTHBN,15674.8772038,15670.785825,15698.0,15688.6,15673.0,15651.7,15692.9,15698.6,15661.5,15658.9,15695.7,15687.3
rfidVYYKGK,15669.5666008,15668.9235054,15694.5,15656.1,15675.1,15668.8,15678.0,15652.9,15661.7,15658.0,15678.4
rfidSQKJGH,15673.2154249,15675.3534837,15670.6,15677.6,15676.4,15695.9,15677.0,15692.1,15679.2,15657.3,15675.6,15691.7
rfidNSELSE,15662.3965982,15667.421254,15676.8,15661.9,15690.8,15683.0,15650.1,15675.8,15683.4,15666.7,15686.4
rfidXPDNSC,15664.9213761,15662.6570474,15654.3,15677.5,15659.1,15651.6,15672.1,15680.6,15651.5,15697.8,15664.7,15668.7
rfidYREIDQ,15669.2088883,15671.7192636,15667.7,15693.2,15679.0,15673.4,15694.8,15659.6,15674.2,15656.4,15655.1
rfidBKTRLP,15672.3448107,15674.6646459,15659.2,15692.2,15692.3,15692.7,15651.1,15673.4,15651.5,15696.4,15688.7,15661.9
rfidNJSWIM,15678.047773,15674.9414054,15698.2,15697.9,15693.9,15654.0,15686.8,15672.1,15695.3,15685.4,15653.0,15694.9
rfidIICVAH,15668.7367863,15665.125975,15694.6,15656.5,15691.2,15692.0,15660.6,15658.2,15674.0,15658.1,15674.8
rfidUSNSHC,15671.2472214,15673.8159718,15689.5,15685.3,15663.8,15651.2,15698.5,15689.9,15664.2,15672.2,15678.0,15679.9
rfidMFTSWW,15653.4755625,15662.4921844,15655.1,15662.5,15698.1,15678.9,15686.7,15675.5,15653.7,15677.6,15694.8
rfidCBMLGM,15669.6752434,15668.2004425,15679.7,15662.7,15656.4,15699.9,15683.2,15655.5,15653.1,15681.0,15671.8,15678.8
rfidTGNSNI,15670.2192645,15673.0955955,15657.6,15699.5,15669.0,15676.9,15656.9,15697.1,15667.9,15673.0,15691.6,15697.1
rfidEJHYOM,15674.5831119,15677.5494615,15675.2,15691.9,15671.9,15685.6,15685.9,15680.5,15674.0,15684.4,15664.6
rfidWOMLHU,15668.961273,15671.5537002,15672.3,15687.0,15652.4,15651.0,15669.2,15683.4,15681.8,15699.9,15675.5,15655.7
rfidSVWFVZ,15664.8663876,15670.0815132,15655.8,15696.6,15651.4,15698.1,15678.9,15668.0,15698.0,15672.3,15669.0,15652.3
rfidCEZEBQ,15666.8649953,15665.1256112,15669.3,15685.1,15659.4,15673.5,15665.2,15657.9,15655.5,15667.8,15669.4,15660.4,15695.4,15680.8
rfidSLQPDR,15670.7165625,15668.08125,15694.1,15662.2,15673.6,15680.5,15664.8,15650.2,15685.3,15680.8,15686.6
rfidNQRMLR,15645.845,15658.211,15679.2,15667.2,15662.3,15677.6,15657.0,15666.3,15695.6,15681.4,15660.2
rfidGETQDY,15616.6025,15642.780125,15684.4,15691.1,15670.3,15687.8,15686.7,15668.8,15658.9,15650.2,15694.7
rfidJRRVME,15676.7770829,15678.6856052,15698.1,15698.6,15655.6,15660.0,15669.7,15688.8,15668.1,15678.2,15652.9,15690.4
rfidTLWXGZ,15645.5732857,15660.1903071,15651.0,15664.3,15686.8,15669.1,15686.0,15698.0,15670.8,15693.0,15683.5,15667.8
rfidKEBJGC,15655.1950525,15645.24555,15660.6,15651.1,15664.7,15659.2,15666.3,15687.6,15675.2,15672.5,15669.0,15665.3
rfidFMSUBE,15667.7890003,15665.7618188,15676.3,15680.2,15686.9,15658.2,15663.3,15655.5,15689.2,15666.5,15656.3,15684.9
rfidGTHHGD,15665.3803167,15659.1369394,15655.8,15687.2,15658.2,15670.7,15650.6,15699.3,15695.1,15669.2,15671.0,15669.1
rfidVYEBVG,15662.1970943,15659.0310806,15653.0,15661.3,15692.6,15671.0,15657.3,15670.0,15665.0,15660.0,15664.4,15690.1
rfidVIASXP,15668.0065299,15663.8555089,15662.9,15691.8,15669.1,15680.6,15676.1,15667.0,15674.6,15664.0,15665.6,15679.1,15670.5
rfidXNPCXE,15669.892211,15674.2607161,15663.2,15686.3,15677.7,15655.7,15699.6,15678.1,15680.9,15691.7,15684.2,15678.6,15668.0
rfidQSKZVB,15669.3374637,15673.105605,15663.5,15690.8,15651.4,15694.6,15684.1,15689.2,15655.8,15680.5,15689.5,15664.4
rfidDRCUXI,15648.00975,15659.5653625,15660.3,15693.2,15672.4,15685.9,15670.5,15659.3,15670.5,15681.7,15669.4,15693.3
rfidXXIVNB,15679.0597813,15681.4628797,15681.6,15665.9,15697.8,15698.0,15689.6,15674.2,15671.3,15686.2,15695.0,15685.2
rfidYGABPB,15668.3539134,15672.3684024,15673.3,15659.0,15684.4,15686.5,15668.7,15693.8,15692.4,15660.1,15657.8
rfidSCPJCE,15664.488,15669.8434,15694.3,15667.9,15685.2,15662.8,15673.4,15671.3,15694.3,15665.9,15672.4,15694.9
rfidOOVDPE,15558.12375,15613.3330625,15690.4,15673.2,15688.8,15686.7,15671.7,15674.5,15680.6,15662.4,15699.0,15678.4
rfidPODCVH,15669.3375974,15665.6319952,15675.8,15669.6,15671.5,15654.2,15689.3,15654.4,15680.7,15696.4,15672.9,15655.5
